見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）※～４月２０日まで照明工事のため休館します。,,,,,,,６５歳以上、障害者、高校生以下、外国人留学生などは入場無料,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,企画展「江戸時代の書」,展示,３月１４日（土）～４月１９日（日）,,,,６５歳以上、障害者、高校生以下、外国人留学生などは入場無料,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,９：0０～１６：３０（入館は１６：００まで）,月曜（祝日の場合次の平日）,おしゃべり考古学⑥,イベント,３月１３日（金）１３：３０～１５：００,,１５歳以上,３０人（先着順）,６５歳以上、障害者、高校生以下、外国人留学生などは入場無料,当日受付,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,９：0０～１６：３０（入館は１６：００まで）,月曜（祝日の場合次の平日）,春季企画展「埴輪と須恵器～きのくにの窯跡から見える古墳時代～」,展示,３月２１日（土）～５月１０日（日）,,,,６５歳以上、障害者、高校生以下、外国人留学生などは入場無料,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,９：0０～１６：３０（入館は１６：００まで）,月曜（祝日の場合次の平日）,館長講座④「世界の博物館をたずねて」,イベント,３月２１日（土）１３：３０～１５：００,,小学生以上,３０人（先着順）,６５歳以上、障害者、高校生以下、外国人留学生などは入場無料,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,月間クイズで楽しむ自然博物館！！,イベント,,,,,６５歳以上、障害者、高校生以下、外国人留学生などは入場無料,,開館日に実施毎月、月替わりで館内の展示に関するクイズを出題
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,古典植物と山野草展,展示,３月１４日（土）・１５日（日）、４月４日（土）・５日（日）,,,,入場無料,,桜の開花により3月31日（火）、4月7日（火）は、臨時開園します。3月の花ごよみ桜、アネモネ、ユキヤナギ、クリスマスローズ、キンセンカ
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,セッコク・富貴ラン植替え教室,イベント,３月１４日（土）・１５日（日）、４月４日（土）・５日（日）１３：００～１６：００,,,,入場無料,,桜の開花により3月31日（火）、4月7日（火）は、臨時開園します。3月の花ごよみ桜、アネモネ、ユキヤナギ、クリスマスローズ、キンセンカ
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,第５２回春らん展,展示,３月１４日（土）・１５日（日）,,,,入場無料,,桜の開花により3月31日（火）、4月7日（火）は、臨時開園します。3月の花ごよみ桜、アネモネ、ユキヤナギ、クリスマスローズ、キンセンカ
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,野生ラン展,展示,３月２１日（土）・２２日（日）,,,,入場無料,,桜の開花により3月31日（火）、4月7日（火）は、臨時開園します。3月の花ごよみ桜、アネモネ、ユキヤナギ、クリスマスローズ、キンセンカ
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,第６回緑和会盆栽展,展示,４月４日（土）・５日（日）,,,,入場無料,,桜の開花により3月31日（火）、4月7日（火）は、臨時開園します。3月の花ごよみ桜、アネモネ、ユキヤナギ、クリスマスローズ、キンセンカ
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,春の洋ラン展,展示,４月１０日（金）～１２日（日）,,,,入場無料,,桜の開花により3月31日（火）、4月7日（火）は、臨時開園します。3月の花ごよみ桜、アネモネ、ユキヤナギ、クリスマスローズ、キンセンカ
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,９：００～１７：００（入館は１６：３０まで）,,体験教室①書いて遊ぼう、ことばたち,イベント,３月２０日（祝）１４：００～１５：３０,,小学生（保護者同伴）,各２０人（先着順）,①１００円,事前申込,
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,９：００～１７：００（入館は１６：３０まで）,,体験教室②パステルアート,イベント,４月１９日（日）１０：００～１１：３０,,小学生以上（小学生は保護者同伴）,各２０人（先着順）,②１０００円,事前申込,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,ボランティアによる「おはなし会」,イベント,３月１４・２１・２８日（土）１４：００～、４月４日（土）１１：００～,,,,入場無料,,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,エントランスコンサート,イベント,４月３日（金）１２：００～１２：３０,,,１００人（先着順）,入場無料,,
県立紀南図書館,0739-22-2061,0739-22-4773,〒646-0011田辺市新庄町3353-9（県立情報交流センターＢｉｇ・Ｕ内）,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,ゆうゆうおはなし会,イベント,３月８・１５・２２・２９日、４月５日（日）１１：００～１１：３０,,,,入場無料,,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,９：００～１７：００,,第４回南紀熊野ジオパークセンター講演会,イベント,３月２０日（祝）１４：００～１５：００,,,１００人程度,入場無料,,
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,１０：００～１７：００,火曜,犬・猫の飼い方講習会及び譲渡会,イベント,①３月８日（日）・１３日（金）・２２日（日）、４月１２日（日）・２０日（月）・２６日（日）１１：００～,県動物愛護センター,,,入場無料,,※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代２７００円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,１０：００～１７：００,火曜,犬・猫の飼い方講習会及び譲渡会,イベント,②３月１８日（水）１３：３０～,橋本保健所,,,入場無料,,※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代２７００円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,１０：００～１７：００,火曜,春休み体験教室①飼育体験教室,イベント,３月２５日（水）、４月３日（金）９：００～１５：３０,,小学新３年～中学新３年生（保護者同伴可）,各８名（抽選）,入場無料,３月１１日まで※手話通訳・要約筆記は要予約,
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,１０：００～１７：００,火曜,春休み体験教室②獣医師体験教室,イベント,３月２６日（木）・３０日（月）、４月６日（月）９：００～１５：３０,,小学新５年～中学新３年生（保護者同伴可）,各８名（抽選）,入場無料,３月１１日まで※手話通訳・要約筆記は要予約,
